mission,id,name,disposition,period_days,radius_re,snr
Kepler,8544996,Kepler-723 b,CONFIRMED,4.082274889,10.55,1669.1
Kepler,8552202,,CANDIDATE,3.886655224,1.87,48.1
Kepler,8150320,Kepler-55 c,CONFIRMED,42.1406089,1.85,21.6
Kepler,8150320,Kepler-55 e,CONFIRMED,4.617490562,1.62,28.1
Kepler,8150320,Kepler-55 f,CONFIRMED,10.19849255,1.75,21.4
Kepler,8180063,,FALSE POSITIVE,5.795063956,4.33,119.4
Kepler,8226994,Kepler-250 c,CONFIRMED,7.15681552,2.47,47.7
Kepler,8226994,Kepler-250 d,CONFIRMED,17.64830851,2.43,23.8
Kepler,8226994,Kepler-250 b,CONFIRMED,4.14810719,1.08,12.9
Kepler,8247638,Kepler-251 c,CONFIRMED,16.51410989,2.72,55.9
Kepler,8247638,Kepler-251 d,CONFIRMED,30.1329298,3.14,44.8
Kepler,8247638,Kepler-251 b,CONFIRMED,4.79090809,1.36,21.2
Kepler,11086270,Kepler-110 c,CONFIRMED,31.71981013,3.09,63.1
Kepler,8247638,Kepler-251 e,CONFIRMED,99.6415962,2.64,22.7
Kepler,8255887,Kepler-720 b,CONFIRMED,4.708326451,10.6,633.4
Kepler,8256049,,FALSE POSITIVE,16.37198661,540.37,54.5
Kepler,8414716,Kepler-721 b,CONFIRMED,5.392026903,2.68,77.4
Kepler,9140402,,CANDIDATE,2.494170338,2.42,69.2
Kepler,9141746,Kepler-730 b,CONFIRMED,6.491682808,9.66,502.3
Kepler,9159275,,FALSE POSITIVE,3.044770796,24.54,203.5
Kepler,9166862,Kepler-731 b,CONFIRMED,3.855603916,13.61,1173.9
Kepler,9166870,,FALSE POSITIVE,3.855599139,3.57,90.1
Kepler,11449844,Kepler-468 b,CONFIRMED,38.47876629,13.26,1077.8
Kepler,8605074,,FALSE POSITIVE,37.601661282,27.22,1667.3
Kepler,8628973,Kepler-724 b,CONFIRMED,3.314947362,3.94,123.5
Kepler,8655354,,FALSE POSITIVE,6.71969089,4.37,45.4
Kepler,8672910,Kepler-725 b,CONFIRMED,39.6431552,10.98,690.3
Kepler,8686150,,FALSE POSITIVE,51.42598578,29.66,1843.8
Kepler,8689031,Kepler-726 b,CONFIRMED,21.80451611,2.6,49.9
Kepler,8689373,Kepler-253 c,CONFIRMED,10.28194593,2.53,55
Kepler,8689373,Kepler-253 d,CONFIRMED,18.11993039,2.95,60.7
Kepler,8689373,Kepler-253 b,CONFIRMED,3.78402867,1.7,25.6
Kepler,8826878,Kepler-727 b,CONFIRMED,5.15448142,2.94,48.1
Kepler,5897826,Kepler-469 b,FALSE POSITIVE,33.80364366,20.7,529.9
Kepler,8883593,Kepler-728 b,CONFIRMED,5.743469797,3.13,79.7
Kepler,8951215,,CANDIDATE,39.4759093,4.06,26.6
Kepler,9016295,,FALSE POSITIVE,19.974485239,26.56,1398.8
Kepler,9077124,Kepler-729 b,CONFIRMED,3.166353562,3.82,128.3
Kepler,9097120,,FALSE POSITIVE,23.899634407,44.04,547.8
Kepler,9466668,Kepler-256 c,CONFIRMED,3.388012244,2.11,30.6
Kepler,9466668,Kepler-256 d,CONFIRMED,5.83909761,2.06,25.2
Kepler,9466668,Kepler-256 b,CONFIRMED,1.620467654,1.57,22.7
Kepler,9466668,Kepler-256 e,CONFIRMED,10.6816951,2.3,21.9
Kepler,9479273,Kepler-734 b,CONFIRMED,6.104849417,3.18,293.7
Kepler,8359498,Kepler-77 b,CONFIRMED,3.578780566,10.43,1838.4
Kepler,9171801,,FALSE POSITIVE,3.187067566,23.88,37.2
Kepler,9334289,Kepler-254 b,CONFIRMED,5.826657508,4.09,81.1
Kepler,9334289,Kepler-254 c,CONFIRMED,12.41216347,2.58,25.6
Kepler,9334289,Kepler-254 d,CONFIRMED,18.74649011,3.05,26.7
Kepler,9347899,Kepler-31 b,CONFIRMED,20.86021229,5.5,117
Kepler,9347899,Kepler-31 c,CONFIRMED,42.63427848,5.22,78.7
Kepler,9347899,Kepler-31 d,CONFIRMED,87.6476068,4,37.5
Kepler,9347899,,CANDIDATE,9.61731426,1.94,18.2
Kepler,9388479,Kepler-732 b,CONFIRMED,9.467821474,2.13,124.7
Kepler,9388479,Kepler-732 c,CONFIRMED,0.893040969,1.24,87.8
Kepler,11359879,Kepler-15 b,CONFIRMED,4.942783419,10.62,2040.7
Kepler,9406990,Kepler-733 b,CONFIRMED,20.83426731,2.74,45.1
Kepler,9415172,Kepler-255 c,CONFIRMED,9.94602357,3.12,51
